Name,Lat,Long
1 Million Cups,,
321 Web Marketing,-77.3319489,38.8615504
"A Delafield Consulting, LLC",-77.2986739,38.7826017
A to Z Dental Studio,-77.3104996,38.8471362
ABC Behavior,-77.4296966,38.8403417
"Accounting Technology, LLC",-78.6568942,37.4315734
Adaptive Fitness Legion,-77.3070743,38.8632653
Addison Family Travel,,
Adobe Express,-121.8932137,37.3307305
AFC Urgent Care - Burke,-77.2646262,38.7763754
Aflac,-77.4371188,38.8741359
Agent Cathy - eXp Realty,,
Alex Kane Media,,
Allstate,,
Alzheimer's Association National Capital Area Chapter,-77.2276485,38.923647
American Foundation for Suicide Prevention - National Capital Area Chapter,-77.4086115,38.9128711
American Legion Post #177,-77.3160749,38.8516921
Apple Federal Credit Union,-77.3587326,38.8589827
Arena Pay,-77.3066005,38.8455063
ARZI,-77.1989494,38.9274405
Asian American Chamber of Commerce,-77.2318491,38.9171262
Astrid's Art Studio,-77.3102131,38.8480329
Audacious Aleworks Brewery - Fairfax City,-77.3214491,38.8538865
Bastion Wealth Group,-77.3642949,38.9554959
Bellissimo Restaurant,-77.3055483,38.8458342
"Bernie L. Bates Foundation, Inc.",-77.1312586,38.7575167
Better Homes & Gardens RE Premier,,
Better Homes and Gardens Real Estate Reserve,-77.3382916,38.8575512
Big Buns,-77.3041737,38.8599402
Bleevit,-77.3032742,38.8622151
Body Fit Training,-77.2066858,38.9239631
Bond&#8217;s Escape Room Fairfax,-77.304016,38.847558
BRAIN INJURY SERVICES,-77.227242,38.780935
Brightview Fair Oaks,-77.3871245,38.8405039
"Britepaths, Inc.",-77.3323656,38.8607507
Bruce W. Reyle Real Estate Appraisers & Consultants,-77.3008594,38.8486455
Bryk Law Firm,,
Burke & Herbert Bank,-77.0469214,38.8048355
Cameron's Coffee & Chocolates,-77.2773489,38.8633396
Capital Ale House,-77.3073582,38.8442986
Capital Bank,-77.3132129,38.944206
Centreville Moose Lodge 2168,-77.3062811,38.8628275
"Chap Petersen & Associates, PLLC",-77.3066177,38.8470106
Chubby Squirrel Brewing Company,-77.303263,38.8487816
Cinema Arts Theatre,-77.2754658,38.8446835
City of Fairfax Band Association,,
City of Fairfax City Councilman Tom Ross,-77.3082469,38.8407875
City of Fairfax Economic Development Office,-77.3021971,38.8614536
City of Fairfax Theatre Company,-77.3066401,38.846792
"CLRA Group, LLC",-77.2195882,38.9144989
Commercial Team,-77.3407209,38.9507968
Comparion Insurance Agency,-77.4559667,38.8802651
"Compassionate Decluttering, LLC",-77.3309169,38.8588249
"Computer Service Solutions, Inc",-77.3142019,38.8499348
Corvette Realm,-77.2829418,38.8363039
Cox Business,-77.428548,38.926404
"Cranston & Associates, LLC",-77.2931982,38.7338647
Crown Settlements LLC,-77.3079661,38.8434187
"Cruise Planners, A Full-Service Travel Agency",,
Crystal Clarity Medical Spa,-77.308042,38.856857
CrystalView Events Center,-77.3625006,38.8663079
Custom Ink,-77.2301193,38.8708732
"D&D Global Consulting Solutions, Inc.",-77.34798,38.8532178
D.C. Divas Football,-76.6287246,39.4143154
D3D Photography and Videography,-77.4244081,38.8358972
Dark Horse Nutrition LLC,-77.3625743,38.9590317
DC Wheel & Coating,-77.4271217,38.886348
DCCandlelighters,-77.47,38.84
Demaine Funeral Home,-77.3112176,38.8474563
Digital Strategy Associates LLC,,
"DiPietro Law Group, PLLC",-77.308884,38.8421352
Dolce Vita Italian Kitchen & Wine Bar,-77.3175959,38.8545616
Dunlap Bennett & Ludwig,-77.5643824,39.1126304
"DuvallWheeler, LLP",-77.4780716,38.7665483
Earp's Ordinary,-77.3060766,38.8463221
ECCA Payroll+,-77.1371121,38.8121535
Edward Jones,-77.482055,38.752316
El Pollo Rico Fairfax LLC,-77.3164008,38.8546377
Elevated Kitchen & Bath Remodel,-77.4463306,38.8309758
Embrace Home Loans,-77.3034537,38.8615921
