Business Name,Owner Name,Phone,Email,Address
Abberly Avera Apartment Homes,Neha Lorenzo,(571) 379-4342,abberlyaverateam@hhhunt.com,"11601 Hokie Stone Loop , Manassas, VA 20109"
Amazon,Patrick Phillippi,,merylrob@amazon.com," , ,  "
Apollonia Business Solutions LLC,William Barker,5717231374,wbarker@apolloniacorp.com,"3033 Wilson Blvd Suite 700, Arlngton, VA 22201"
AQUAS Inc,Carmen Larsen,(301) 654-4000,clarsen@aquasinc.com,"10400 Connecticut Avenue Suite 310, Kensington, MD 20895"
Arepa Zone LLC,Gabriela Febres,7032616456,info@arepazone.com,"3160 Spring Street Unit B, Fairfax, VA 22031"
Avila Prime LLC,Victor Florido,7068290727,products@avilaprime.com," , ,  "
B.F. Saul Company Hospitality Group,Amanda Padilla-Brennan,3019866070,amanda.brennan@bfsaul.com,"7501 Wisconsin Avenue Suite 1500E, Bethesda, MD 20814"
Bryant &amp; Stratton College,Beth Murphy,(804) 745-2444,bmmurphy@bryantstratton.edu,"8141 Hull Street Rd , Richmond, VA 23235"
Burke &amp; Herbert Bank,Lenny Hesser,(703) 684-1659,lhesser@burkeandherbertbank.com,"5705 Seminary Road , Falls Church, VA 22041"
Carefirst BlueCross BlueShield, ,410-998-4785 C443-4680759,jeanine.finch@carefirst.com,"3060 Williams Drive Suite 200, Fairfax, VA 22031"
Carefirst BlueCross BlueShield,Jeanine Finch,410-998-4785 C443-4680759,Jeanine.Finch@carefirst.com,"3060 Williams Drive Suite 200, Fairfax, VA 22031"
Cox Communications,Marissa Covington,571-318-4283,marissa.covington@cox.com," , ,  "
CR Construction Services,Corina Morga,443-655-6252,cmorga@gocrsvs.com,"Po Box 6188 , Baltimore, MD 21231"
"Dominion Energy, Inc.",Dallas Simmons,(804)787-5978,s.dallas.simmons@dominionenergy.com,"120 Tredegar Street , Richmond, VA 23219"
Fairfax County Economic Development,Karen Smaw,703-217-4134,ksmaw@fceda.org,"8300 Boone Blvd Suite 450, Vienna, VA 22182"
Fairfax County Public Schools,Dean Brooks,(571) 423-3101,bahaymes@fcps.edu,"8115 Gatehouse Road Suite 2500 - Department of Human Resources, Falls Church, VA 22042"
First National Bank,Justine Witkowska-Baker,4109801980,bakerjus@fnb-corp.com,"900 19th St NW , WASHINGTON, DC 20006"
First National Bank,Robyn  Craig,703-647-5920,Craigr@fnb-corp.com,"1497 Cornerside Blvd. , Vienna, VA 22182"
Grunley Construction Company,Keri Hardnock,240.399.2000,kerihardnock@grunley.com,"15020 Shady Grove Rd Suite 500, Rockville, MD 20850"
HCO Global Advisors,"Hortencia Torres, ESQ.",305.444.8800,hortencia@hcoadvisors.com,"1455 Pennsylvania Avenue, NW Suite 680, Washington,, DC 20004"
HireGround,Jinnae Monroe,18133824726,jmonroe@probidesign.com,"10216 Broadsword Drive , Bristow, VA 20136"
Hub International,Francisco Abril,(703) 891-6687,francisco.abril@hubinternational.com,"8300 Greensboro Drive Suite 700, McLean, VA 22102"
