Name,URL
1.Active Family Wellness,/biz/active-family-wellness-fairfax-3?osq=Minority+Owned
2.Meokja Meokja,/biz/meokja-meokja-fairfax-5?osq=Minority+Owned
3.Simply Social Coffee,/biz/simply-social-coffee-fairfax-3?osq=Minority+Owned
4.Hangry Joe’s Hot Chicken - Fairfax,/biz/hangry-joes-hot-chicken-fairfax-fairfax?osq=Minority+Owned
5.Precision Interior Rails,/biz/precision-interior-rails-fairfax?osq=Minority+Owned
6.Caboose Commons,/biz/caboose-commons-fairfax-4?osq=Minority+Owned
7.Sugar Mama’s,/biz/sugar-mamas-fairfax?osq=Minority+Owned
8.Cyrus Construction,/biz/cyrus-construction-fairfax?osq=Minority+Owned
9.Acclaim Home Services,/biz/acclaim-home-services-farifax?osq=Minority+Owned
10.Ayala Masonry,/biz/ayala-masonry-fairfax-5?osq=Minority+Owned
11.Bebop Korean-Mexican Grill,/biz/bebop-korean-mexican-grill-fairfax?osq=Minority+Owned
12.KBR Kitchen and Bath,/biz/kbr-kitchen-and-bath-fairfax?osq=Minority+Owned
13.Dolce Vita Italian Restaurant & Wine Bar,/biz/dolce-vita-italian-restaurant-and-wine-bar-fairfax?osq=Minority+Owned
14.Espositos Pizza’n Pasta the Original,/biz/espositos-pizzan-pasta-the-original-fairfax?osq=Minority+Owned
15.Sweetwater Tavern,/biz/sweetwater-tavern-falls-church-2?osq=Minority+Owned
16.Dulce Crepes,/biz/dulce-crepes-fairfax?osq=Minority+Owned
17.Bellissimo Restaurant,/biz/bellissimo-restaurant-fairfax-city-3?osq=Minority+Owned
18.Sakoy Cleaning Services,/biz/sakoy-cleaning-services-fairfax?osq=Minority+Owned
19.The Wine House,/biz/the-wine-house-fairfax?osq=Minority+Owned
20.Caboose Brewing Company & Tavern,/biz/caboose-brewing-company-and-tavern-vienna?osq=Minority+Owned
21.Clarity,/biz/clarity-vienna?osq=Minority+Owned
22.Bradley Jay’s Contracting Services,/biz/bradley-jay-s-contracting-services-alexandria?osq=Minority+Owned
23.Trattoria Villagio,/biz/trattoria-villagio-clifton?osq=Minority+Owned
24.Movement Chiropractic,/biz/movement-chiropractic-fairfax?osq=Minority+Owned
25.Dulles Kitchen and Bath,/biz/dulles-kitchen-and-bath-vienna?osq=Minority+Owned
26.Parc de Ville,/biz/parc-de-ville-fairfax?osq=Minority+Owned
27.Blaze Pizza,/biz/blaze-pizza-fairfax?osq=Minority+Owned
28.Floors and Designs,/biz/floors-and-designs-burke-3?osq=Minority+Owned
29.Maple Ave Restaurant,/biz/maple-ave-restaurant-vienna?osq=Minority+Owned
30.B Side,/biz/b-side-fairfax?osq=Minority+Owned
31.Beautiful Home Services,/biz/beautiful-home-services-fairfax-3?osq=Minority+Owned
32.Home Perfection Contracting,/biz/home-perfection-contracting-falls-church-4?osq=Minority+Owned
33.Megan Fass - FASS Results Group,/biz/megan-fass-fass-results-group-mclean-2?osq=Minority+Owned
34.HB Services,/biz/hb-services-fairfax-2?osq=Minority+Owned
35.2941 Restaurant,/biz/2941-restaurant-falls-church?osq=Minority+Owned
36.Panorama Remodeling,/biz/panorama-remodeling-vienna-2?osq=Minority+Owned
37.Family Chiropractic of Fairfax: My Family Wellness Center,/biz/family-chiropractic-of-fairfax-my-family-wellness-center-fairfax?osq=Minority+Owned
38.True Food Kitchen,/biz/true-food-kitchen-fairfax-4?osq=Minority+Owned
39.Design Pro Remodeling,/biz/design-pro-remodeling-fairfax?osq=Minority+Owned
40.Bruce & Tanya and Associates - RE/MAX Executives,/biz/bruce-and-tanya-and-associates-re-max-executives-springfield-2?osq=Minority+Owned
41.2941 Restaurant,/biz/2941-restaurant-falls-church?osq=Minority+Owned
42.Dulce Crepes,/biz/dulce-crepes-fairfax?osq=Minority+Owned
43.Sweetwater Tavern,/biz/sweetwater-tavern-falls-church-2?osq=Minority+Owned
44.H Mart - Fairfax,/biz/h-mart-fairfax-fairfax-3?osq=Minority+Owned
45.TRIO Grill,/biz/trio-grill-falls-church?osq=Minority+Owned
46.Plaka Grill,/biz/plaka-grill-vienna?osq=Minority+Owned
47.Taco Bamba,/biz/taco-bamba-falls-church?osq=Minority+Owned
48.99 Ranch Market,/biz/99-ranch-market-fairfax-2?osq=Minority+Owned
49.Murasaki Japanese Restaurant,/biz/murasaki-japanese-restaurant-fairfax?osq=Minority+Owned
50.Raouche Cafe,/biz/raouche-cafe-falls-church?osq=Minority+Owned
51.Trummer’s On Main,/biz/trummers-on-main-clifton?osq=Minority+Owned
52.Blaze Pizza,/biz/blaze-pizza-fairfax?osq=Minority+Owned
53.Lei’d Poke,/biz/leid-poke-vienna-4?osq=Minority+Owned
54.La Estancia Churrasqueria,/biz/la-estancia-churrasqueria-falls-church-2?osq=Minority+Owned
55.Mazadar Restaurant,/biz/mazadar-restaurant-fairfax?osq=Minority+Owned
56.Dogfish Head Alehouse,/biz/dogfish-head-alehouse-fairfax?osq=Minority+Owned
57.Caboose Brewing Company & Tavern,/biz/caboose-brewing-company-and-tavern-vienna?osq=Minority+Owned
58.Jaipur Royal Indian Cuisine,/biz/jaipur-royal-indian-cuisine-fairfax?osq=Minority+Owned
59.Senor Tequila’s,/biz/senor-tequilas-fairfax-3?osq=Minority+Owned
60.Hamrock’s Restaurant,/biz/hamrocks-restaurant-fairfax-2?osq=Minority+Owned
61.Rich Digiovanna - RE/MAX Allegiance,/biz/rich-digiovanna-re-max-allegiance-burke?osq=Minority+Owned
62.703 bar + kitchen,/biz/703-bar-kitchen-fairfax?osq=Minority+Owned
63.Silver Diner,/biz/silver-diner-fairfax-3?osq=Minority+Owned
64.Salon Seville,/biz/salon-seville-fairfax?osq=Minority+Owned
